ID vrcholu;degree;closeness;betwenness;CC
1;16;0.5862069;0.437635281;0.15
2;9;0.5;0.053936688;0.333333333
3;10;0.5762712;0.143656806;0.244444444
4;6;0.4788732;0.011909271;0.666666667
5;3;0.3908046;0.000631313;0.666666667
6;4;0.3953488;0.029987374;0.5
7;4;0.3953488;0.029987374;0.5
8;4;0.4533333;0.0;1.0
9;5;0.53125;0.055926828;0.5
10;2;0.4473684;0.000847763;0.0
11;3;0.3908046;0.000631313;0.666666667
12;1;0.3777778;0.0;0
13;2;0.3820225;0.0;1.0
14;5;0.53125;0.045863396;0.6
15;2;0.3820225;0.0;1.0
16;2;0.3820225;0.0;1.0
17;2;0.2931034;0.0;1.0
18;2;0.3863636;0.0;1.0
19;2;0.3820225;0.0;1.0
20;3;0.5151515;0.032475048;0.333333333
21;2;0.3820225;0.0;1.0
22;2;0.3863636;0.0;1.0
23;2;0.3820225;0.0;1.0
24;5;0.4047619;0.017613636;0.4
25;3;0.3863636;0.002209596;0.333333333
26;3;0.3863636;0.003840488;0.333333333
27;2;0.3736264;0.0;1.0
28;4;0.4722222;0.022333454;0.166666667
29;3;0.4657534;0.001794733;0.333333333
30;4;0.3953488;0.002922078;0.666666667
31;4;0.4722222;0.014411977;0.5
32;6;0.557377;0.138275613;0.2
33;12;0.53125;0.145247114;0.196969697
34;17;0.5666667;0.304074976;0.110294118
